transaction_id,merchant,amount,timestamp,upi_reference,category,year,month,day,hour,minute,day_of_week,is_weekend,is_month_start,is_month_end,amount_rounded,amount_log,is_round_amount,amount_last_digit,amount_decimal,is_large_transaction,is_micro_transaction,merchant_length,merchant_word_count,merchant_uppercase_count,merchant_lowercase_count,merchant_digit_count,merchant_special_char_count,merchant_has_upi_prefix,merchant_has_numbers,merchant_has_city,merchant_has_pvt_ltd,merchant_all_caps,merchant_first_char,merchant_last_char,payment_method,payment_app,card_type,bank_name,is_online,is_contactless,requires_otp,city,location_type,merchant_city,is_same_city,distance_from_home_km,is_recurring,merchant_visit_count,days_since_last_transaction,transaction_sequence_number,time_since_last_txn_hours,is_first_time_merchant,merchant_category_frequency,avg_monthly_spend_category,is_unusual_time,description,narration,merchant_category_code,currency,exchange_rate,tax_amount,tip_amount,discount_amount,cashback_amount,risk_score,is_verified_merchant,merchant_rating,transaction_status,failure_reason
1C2B79B35708ABB7,UPI/IMPS Transfer/936859,35427.29,2025-11-13 23:44:00,UPI376791848,Transfer - Personal,2025,11,13,23,44,3,0,0,0,35427.0,10.4753,0,7,0.29,1,0,24,2,8,7,6,2,1,1,0,0,0,U,9,Debit Card,Bank App,Visa,ICICI,0,1,1,Jaipur,Office,Jaipur,1,11.51,0,20,6,684,40.27,0,27,3498.56,0,Payment to UPI/IMPS Transfer/936859,POS transaction at UPI/IMPS Transfer/936859,6012,INR,1.0,0.0,0.0,0.0,0.0,0.3044,1,3.5,Pending,N/A
6D5D4A2B5C7B9920,Uniqlo,6065.61,2025-07-16 09:39:00,UPI624504823,Shopping - Non-Essentials,2025,7,16,9,39,2,0,0,0,6066.0,8.7106,0,5,0.61,1,0,6,1,1,5,0,0,0,0,0,0,0,U,o,Credit Card,Bank App,Rupay,PNB,0,1,1,Bangalore,Online,Bangalore,1,7.12,0,15,3,177,24.39,1,30,2795.66,0,UPI/Uniqlo/Rs.6065.61,POS transaction at Uniqlo,5651,INR,1.0,0.0,0.0,0.0,0.0,0.4115,1,3.8,Success,N/A
7FFFE721B347F027,UPI/Byjus Classes SERVICES/655696,1999.0,2025-02-26 08:39:00,NEFT980291415,Education,2025,2,26,8,39,2,0,0,1,1999.0,7.6009,0,9,0.0,0,0,33,3,13,10,6,2,1,1,0,0,0,U,6,UPI,Amazon Pay,N/A,ICICI,1,1,1,Jaipur,Online,Jaipur,1,8.45,1,1,15,8,153.83,0,12,3632.23,0,Debit Card Transaction - UPI/Byjus Classes SERVICES/655696,UPI/Byjus Classes SERVICES/655696 - Purchase,8211,INR,1.0,359.82,0.0,0.0,0.0,0.086,1,3.6,Success,N/A
7689F9E63141C2A1,Gupta Provision Store-0697,4422.09,2025-09-01 06:28:00,UPI488211338,Food - Groceries,2025,9,1,6,28,0,0,1,0,4422.0,8.3946,0,2,0.09,0,0,26,3,3,16,4,1,0,1,0,0,0,G,7,Debit Card,Bank App,Amex,PNB,1,0,1,Kolkata,Online,Lucknow,0,34.32,0,9,35,696,142.23,0,14,3366.61,0,Gupta Provision Store-0697 - Online Payment,POS transaction at Gupta Provision Store-0697,5411,INR,1.0,0.0,0.0,0.0,0.0,0.1382,0,4.6,Success,N/A
4C2D088C81C365FC,UPI/Apollo-Hospitals/734283,8136.37,2025-10-08 17:58:00,UPI462569628,Health & Fitness,2025,10,8,17,58,2,0,0,0,8136.0,9.0042,0,6,0.37,1,0,27,1,5,13,6,3,1,1,0,0,0,U,3,Credit Card,Bank App,Rupay,SBI,0,0,1,Delhi,Office,Delhi,1,4.13,0,2,52,19,163.2,1,4,1825.97,0,UPI/UPI/Apollo-Hospitals/734283/Rs.8136.37,POS transaction at UPI/Apollo-Hospitals/734283,7997,INR,1.0,0.0,0.0,0.0,0.0,0.4282,1,4.0,Pending,N/A
4A524E14226497C6,GPAY-Faasos,489.59,2025-04-16 22:32:00,IMPS464543452,Food - Delivery,2025,4,16,22,32,2,0,0,0,490.0,6.1956,0,9,0.59,0,0,11,1,5,5,0,1,1,0,0,0,0,G,s,Wallet,PhonePe,N/A,ICICI,1,1,0,Hyderabad,Online,Hyderabad,1,6.14,0,47,73,923,35.77,0,48,3328.72,0,GPAY-Faasos - Online Payment,Paid to GPAY-Faasos,5814,INR,1.0,24.48,0.0,0.0,0.0,0.086,1,4.9,Success,N/A
D3C6486ECC1D2D7B,MISCELLANEOUS TRANSACTION,182708.36,2025-10-17 02:43:00,IMPS824574055,Other,2025,10,17,2,43,4,0,0,0,182708.0,12.1157,0,8,0.36,1,0,25,2,24,0,0,0,0,0,0,0,1,M,N,Debit Card,Bank App,Visa,SBI,0,0,1,Hyderabad,Online,Kochi,0,43.81,0,10,72,168,12.04,1,21,2697.9,1,Payment to MISCELLANEOUS TRANSACTION,Online payment - MISCELLANEOUS TRANSACTION,9999,INR,1.0,0.0,0.0,0.0,0.0,0.8843,1,4.0,Success,N/A
1C38E640692BE857,UPI/Mumbai Metro PRIVATE LIMITED/813832,253.64,2025-01-29 16:54:00,IMPS931787757,Transportation,2025,1,29,16,54,2,0,0,1,254.0,5.5399,0,3,0.64,0,0,39,4,19,9,6,2,1,1,1,0,0,U,2,UPI,Amazon Pay,N/A,PNB,1,1,0,Kochi,Street,Kochi,1,11.17,0,18,67,399,19.96,0,28,1287.43,0,Payment to UPI/Mumbai Metro PRIVATE LIMITED/813832,Online payment - UPI/Mumbai Metro PRIVATE LIMITED/813832,5542,INR,1.0,0.0,0.0,0.0,0.0,0.1266,1,3.7,Success,N/A
BAE144D2ABF09B04,MISCELLANEOUS TRANSACTION,776646.48,2025-07-14 07:55:00,IMPS544544580,Other,2025,7,14,7,55,0,0,0,0,776646.0,13.5627,0,6,0.48,1,0,25,2,24,0,0,0,0,0,0,0,1,M,N,Net Banking,Bank App,N/A,HDFC,1,1,1,Indore,Office,Indore,1,6.67,0,10,27,166,23.5,0,28,2181.02,0,MISCELLANEOUS TRANSACTION - Online Payment,POS transaction at MISCELLANEOUS TRANSACTION,9999,INR,1.0,0.0,0.0,0.0,0.0,0.3688,1,3.4,Success,N/A
D3AF89FE1B3C9F74,UPI/Coursera/875506,4999.0,2025-07-03 17:54:00,NEFT837946394,Education,2025,7,3,17,54,3,0,1,0,4999.0,8.5172,0,9,0.0,0,0,19,1,4,7,6,2,1,1,0,0,0,U,6,Net Banking,Bank App,N/A,Axis,1,1,1,Kolkata,Office,Kolkata,1,9.54,1,8,20,801,159.67,0,10,5393.03,0,UPI/Coursera/875506 - Online Payment,POS transaction at UPI/Coursera/875506,8211,INR,1.0,899.82,0.0,0.0,0.0,0.1245,1,4.3,Success,N/A
CDA041A7065D7F7A,Lenskart,13459.96,2025-02-18 21:51:00,NEFT344287945,Shopping - Non-Essentials,2025,2,18,21,51,1,0,0,0,13460.0,9.5075,0,9,0.96,1,0,8,1,1,7,0,0,0,0,0,0,0,L,t,Credit Card,Bank App,Visa,Axis,0,1,1,Bhopal,Online,Lucknow,0,37.52,0,12,74,833,38.57,1,20,2591.47,0,UPI/Lenskart/Rs.13459.96,Payment for shopping - non-essentials,5699,INR,1.0,0.0,0.0,2006.63,0.0,0.582,0,4.3,Success,N/A
95CD22C8ED1B2E14,Meru Cabs - Kolkata,201.42,2025-11-19 07:53:00,IMPS225207627,Transportation,2025,11,19,7,53,2,0,0,0,201.0,5.3103,0,1,0.42,0,0,19,4,3,12,0,1,0,0,1,0,0,M,a,Wallet,Bank App,N/A,ICICI,1,0,1,Mumbai,Station,Jaipur,0,38.57,0,7,7,255,18.53,0,15,4914.35,0,Meru Cabs - Kolkata - Online Payment,Paid to Meru Cabs - Kolkata,4121,INR,1.0,0.0,0.0,0.0,0.0,0.1704,1,3.6,Success,N/A
DF9E74CFC9DA2F42,UPI/Byjus Classes INDIA/346471,499.0,2025-05-28 12:10:00,UPI505112337,Education,2025,5,28,12,10,2,0,0,1,499.0,6.2146,0,9,0.0,0,0,30,3,10,10,6,2,1,1,0,0,0,U,1,UPI,Amazon Pay,N/A,Kotak,1,1,1,Kolkata,Office,Kolkata,1,1.3,1,7,6,919,77.24,0,9,11384.87,0,Debit Card Transaction - UPI/Byjus Classes INDIA/346471,POS transaction at UPI/Byjus Classes INDIA/346471,5942,INR,1.0,89.82,0.0,0.0,0.0,0.0922,1,3.8,Success,N/A
71E69DF0420D5327,UPI/Titan World/900605,8291.51,2025-01-15 22:12:00,RTGS700788275,Shopping - Non-Essentials,2025,1,15,22,12,2,0,0,0,8292.0,9.0231,0,1,0.51,1,0,22,2,5,8,6,2,1,1,0,0,0,U,5,UPI,GPay,N/A,ICICI,1,1,1,Nagpur,Online,Nagpur,1,7.84,0,20,27,451,1.73,0,22,5093.46,0,UPI/Titan World/900605 - Online Payment,Payment for shopping - non-essentials,5651,INR,1.0,0.0,0.0,0.0,49.8,0.2529,0,4.9,Success,N/A
78F7B9C211691898,Rapido Bike,230.57,2024-12-24 13:29:00,IMPS865967328,Transportation,2024,12,24,13,29,1,0,0,0,231.0,5.4449,0,0,0.57,0,0,11,2,2,8,0,0,0,0,0,0,0,R,e,UPI,Paytm,N/A,Canara,1,1,0,Chennai,Station,Chennai,1,5.35,1,5,23,846,105.74,0,19,2833.47,0,Rapido Bike - Online Payment,POS transaction at Rapido Bike,4121,INR,1.0,0.0,0.0,0.0,0.0,0.0366,1,4.4,Pending,N/A
03029460E49D4EB6,ANNA UNIVERSITY FEES,49999.0,2025-11-13 18:28:00,UPI557596869,Education,2025,11,13,18,28,3,0,0,0,49999.0,10.8198,0,9,0.0,1,0,20,3,18,0,0,0,0,0,0,0,1,A,S,Debit Card,Bank App,Visa,HDFC,1,0,1,Chennai,Online,Chennai,1,2.18,1,9,0,222,126.27,0,26,11432.95,0,Debit Card Transaction - ANNA UNIVERSITY FEES,Online payment - ANNA UNIVERSITY FEES,8211,INR,1.0,8999.82,0.0,0.0,0.0,0.3033,1,4.6,Success,N/A
F0B1C1F352A46A5B,Dr Lal PathLabs,2209.45,2024-12-30 05:41:00,RTGS409017391,Health & Fitness,2024,12,30,5,41,0,0,0,1,2209.0,7.701,0,9,0.45,0,0,15,3,4,9,0,0,0,0,0,0,0,D,s,UPI,BHIM,N/A,ICICI,1,1,1,Hyderabad,Home,Hyderabad,1,8.42,0,1,6,42,48.75,1,1,4592.61,1,Debit Card Transaction - Dr Lal PathLabs,Dr Lal PathLabs - Purchase,8011,INR,1.0,397.7,0.0,0.0,0.0,0.4896,1,4.0,Success,N/A
D48D5F66105867BA,UPI-Truffles Ice Cream,206.14,2025-03-17 01:13:00,RTGS395837921,Food - Dining Out,2025,3,17,1,13,0,0,0,0,206.0,5.3334,0,6,0.14,0,0,22,3,6,13,0,1,1,0,0,0,0,U,m,Debit Card,Bank App,Rupay,PNB,0,1,0,Bhopal,Restaurant,Bhopal,1,10.31,0,8,79,166,137.79,0,8,4465.3,1,UPI/UPI-Truffles Ice Cream/Rs.206.14,Paid to UPI-Truffles Ice Cream,5812,INR,1.0,10.31,24.76,0.0,0.0,0.3162,1,4.3,Success,N/A
673CC85BE148868A,UPI/YOUTUBE PREMIUM/148941,1283.29,2024-12-10 12:40:00,NEFT263081900,Entertainment,2024,12,10,12,40,1,0,0,0,1283.0,7.158,0,3,0.29,0,0,26,2,17,0,6,2,1,1,0,0,1,U,1,Credit Card,Bank App,Rupay,SBI,0,0,1,Chandigarh,Online,Chandigarh,1,3.47,0,19,82,884,42.65,0,24,1223.81,0,UPI/UPI/YOUTUBE PREMIUM/148941/Rs.1283.29,Payment for entertainment,7841,INR,1.0,0.0,0.0,0.0,0.0,0.1449,1,4.0,Success,N/A
08B322EAD80005E7,Social Offline-9197,888.03,2024-12-13 19:54:00,IMPS204750606,Food - Dining Out,2024,12,13,19,54,4,0,0,0,888.0,6.7901,0,8,0.03,0,0,19,2,2,11,4,1,0,1,0,0,0,S,7,Debit Card,Bank App,Amex,SBI,1,1,0,Chandigarh,Restaurant,Chandigarh,1,8.39,0,10,53,681,105.87,0,23,3078.96,0,Social Offline-9197 - Online Payment,POS transaction at Social Offline-9197,5812,INR,1.0,0.0,0.0,0.0,0.0,0.0369,0,3.9,Success,N/A
97ACF8EBE27C7E58,UPI/MAC Cosmetics/523300,4340.77,2025-06-23 19:40:00,NEFT701537286,Shopping - Non-Essentials,2025,6,23,19,40,0,0,0,0,4341.0,8.376,0,0,0.77,0,0,24,2,7,8,6,2,1,1,0,0,0,U,0,Credit Card,Bank App,Visa,BOB,0,0,1,Kolkata,Online,Kochi,0,34.02,0,19,41,185,10.83,0,19,2673.51,0,UPI/UPI/MAC Cosmetics/523300/Rs.4340.77,Paid to UPI/MAC Cosmetics/523300,5621,INR,1.0,0.0,0.0,0.0,0.0,0.2419,0,3.2,Success,N/A
BEC305D41B45E750,UPI/MAC Cosmetics/659579,2655.47,2025-07-08 08:14:00,RTGS410312992,Shopping - Non-Essentials,2025,7,8,8,14,1,0,0,0,2655.0,7.8848,0,5,0.47,0,0,24,2,7,8,6,2,1,1,0,0,0,U,9,Debit Card,Bank App,Amex,Axis,1,1,1,Bhopal,Online,Bhopal,1,4.23,0,12,2,586,44.74,0,25,1218.55,0,UPI/UPI/MAC Cosmetics/659579/Rs.2655.47,POS transaction at UPI/MAC Cosmetics/659579,5699,INR,1.0,0.0,0.0,0.0,0.0,0.1365,0,3.8,Success,N/A
97E5977FA9CB8524,DELHI METRO,205.83,2025-11-14 03:07:00,IMPS110886584,Transportation,2025,11,14,3,7,4,0,0,0,206.0,5.3319,0,5,0.83,0,0,11,2,10,0,0,0,0,0,1,0,1,D,O,UPI,GPay,N/A,HDFC,1,1,0,Pune,Home,Pune,1,7.09,1,14,12,308,25.79,0,24,2410.32,1,DELHI METRO - Online Payment,Paid to DELHI METRO,5542,INR,1.0,0.0,0.0,0.0,0.0,0.3425,1,4.9,Success,N/A
0FE9A8039ABD650F,Sharma Dhaba SERVICES,566.23,2025-06-02 03:52:00,UPI675050466,Food - Dining Out,2025,6,2,3,52,0,0,1,0,566.0,6.3408,0,6,0.23,0,0,21,3,10,9,0,0,0,0,0,0,0,S,S,UPI,PhonePe,N/A,Kotak,1,1,0,Bhopal,Restaurant,Bhopal,1,10.04,0,4,78,870,36.33,0,21,2737.51,1,Sharma Dhaba SERVICES - Online Payment,Paid to Sharma Dhaba SERVICES,5812,INR,1.0,28.31,33.4,0.0,0.0,0.2808,1,3.4,Success,N/A
8C51AA302337D4D7,CITY PALACE RESTAURANT,560.2,2025-08-20 19:25:00,IMPS548226631,Food - Dining Out,2025,8,20,19,25,2,0,0,0,560.0,6.3301,0,0,0.2,0,0,22,3,20,0,0,0,0,0,0,0,1,C,T,Credit Card,Bank App,Mastercard,ICICI,0,1,1,Kolkata,Restaurant,Kolkata,1,1.01,0,7,27,559,81.02,0,15,3732.21,0,UPI/CITY PALACE RESTAURANT/Rs.560.2,Paid to CITY PALACE RESTAURANT,5814,INR,1.0,28.01,72.92,0.0,0.0,0.123,0,3.2,Success,N/A
417A9094C3EA3505,Brilliant Tutorials Nagpur,499.0,2025-08-22 08:28:00,IMPS691639209,Education,2025,8,22,8,28,4,0,0,0,499.0,6.2146,0,9,0.0,0,0,26,3,3,21,0,0,0,0,1,0,0,B,r,UPI,Amazon Pay,N/A,Kotak,1,1,0,Hyderabad,Online,Chandigarh,0,46.4,0,1,68,90,154.22,1,10,1670.71,0,Brilliant Tutorials Nagpur - Online Payment,Payment for education,8220,INR,1.0,0.0,0.0,0.0,0.0,0.2744,1,4.4,Success,N/A
B3789F65C1BEFA67,UPI/Rapido Bike/234959,247.98,2025-10-05 03:35:00,UPI554999679,Transportation,2025,10,5,3,35,6,1,1,0,248.0,5.5174,0,7,0.98,0,0,22,2,5,8,6,2,1,1,0,0,0,U,9,UPI,Amazon Pay,N/A,Axis,1,1,1,Indore,Home,Indore,1,11.55,0,9,31,403,47.43,0,15,2728.62,1,Payment to UPI/Rapido Bike/234959,UPI/Rapido Bike/234959 - Purchase,4121,INR,1.0,0.0,0.0,0.0,0.0,0.2208,0,4.8,Success,N/A
EC4907A064F4148A,UPI/Sun Direct SERVICES/372950,1999.0,2025-10-14 12:58:00,IMPS671330188,Bills & Utilities,2025,10,14,12,58,1,0,0,0,1999.0,7.6009,0,9,0.0,0,0,30,3,13,7,6,2,1,1,0,0,0,U,0,UPI,Amazon Pay,N/A,Canara,1,1,1,Jaipur,Online,Jaipur,1,14.56,1,15,20,88,10.1,0,34,3653.99,0,Payment to UPI/Sun Direct SERVICES/372950,UPI/Sun Direct SERVICES/372950 - Purchase,9399,INR,1.0,0.0,0.0,0.0,0.0,0.0986,1,4.0,Success,N/A
